unitid,Institution,year,Percent_Admitted,Admissions_Yield,Institution_Size,Percent_Asian,Percent_Black,Percent_Latino,Percent_Native_Hawaiian_or_Other_PI,Percent_White,Percent_Two_or_more_Races,Percent_Race_Ethnicity_Unknown,Percent_Nonresident,Retention_rate_FT,Graduation_Rate_Total_Cohort,Pell_Graduation_Rate_150percent_normal_time,Percent_FT_Undergrad_Pell,Percent_FT_Undergrad_Fed_Loan
110486,California State University-Bakersfield,2022,87,9,"5,000_to_9,999",7,4,67,0,14,2,4,1,73,50,46,67,22
110495,California State University-Stanislaus,2022,97,18,"10,000_to_19,999",9,2,61,1,19,2,5,1,81,55,54,62,11
110510,California State University-San Bernardino,2022,91,16,"10,000_to_19,999",6,5,68,0,11,2,3,3,80,54,53,63,18
110538,California State University-Chico,2022,95,10,"10,000_to_19,999",6,3,37,0,44,5,4,2,80,64,58,39,37
110547,California State University-Dominguez Hills,2022,89,12,"10,000_to_19,999",8,11,68,0,7,2,3,2,70,46,46,74,9
110556,California State University-Fresno,2022,95,20,"20,000_and_above",12,3,59,0,17,2,3,3,76,56,54,64,14
110565,California State University-Fullerton,2022,67,16,"20,000_and_above",22,2,50,0,16,4,2,3,86,69,66,52,22
110574,California State University-East Bay,2022,96,7,"10,000_to_19,999",22,9,36,1,16,5,4,7,75,46,43,51,25
110583,California State University-Long Beach,2022,40,18,"20,000_and_above",21,4,49,0,16,4,2,4,85,73,70,50,25
110592,California State University-Los Angeles,2022,87,13,"20,000_and_above",11,4,73,0,6,2,2,2,73,51,51,73,17
110608,California State University-Northridge,2022,91,21,"20,000_and_above",9,5,54,0,20,3,5,4,75,56,53,62,20
110617,California State University-Sacramento,2022,93,17,"20,000_and_above",20,6,38,1,24,6,4,2,80,54,52,54,22
366711,California State University-San Marcos,2022,95,18,"10,000_to_19,999",10,3,50,0,26,6,3,2,72,57,55,45,28
409698,California State University-Monterey Bay,2022,92,8,"5,000_to_9,999",7,3,53,0,26,5,4,2,79,61,63,38,35
441937,California State University-Channel Islands,2022,90,7,"5,000_to_9,999",7,2,59,0,24,4,3,2,75,57,55,47,24
