,HS_ENGL_GPA,HS_MATH_GPA,GPA_1,UNITS_ATTEMPTED_1,DFW_RATE_1,UNITS_ATTEMPTED_2,GPA_2,DFW_RATE_2,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS
1504,3.170000,2.860000,3.000000,15.000000,0.000000,12.000000,1.750000,0.250000,White,Female,Continuing Generation
1623,3.350000,2.980000,2.700000,14.000000,0.428571,12.000000,3.250000,0.000000,Hispanic/Latino,Female,Unknown
1673,4.150000,4.000000,3.333333,15.000000,0.000000,17.000000,3.823529,0.000000,Asian,Female,Continuing Generation
2181,3.790000,3.310000,3.000000,15.000000,0.200000,13.000000,1.750000,0.230769,Hispanic/Latino,Female,Continuing Generation
3886,3.270000,3.330000,3.428571,15.000000,0.000000,15.000000,2.400000,0.200000,Hispanic/Latino,Female,Unknown
4869,4.260000,4.120000,4.000000,17.000000,0.000000,13.000000,4.000000,0.000000,Hispanic/Latino,Female,Continuing Generation
5155,3.640000,3.280000,2.181818,12.000000,0.000000,14.000000,2.357143,0.285714,Asian,Female,Continuing Generation
5381,3.250000,2.830000,2.750000,16.000000,0.250000,12.000000,2.666667,0.250000,Black or African American,Female,Unknown
851,3.840000,3.550000,4.000000,14.000000,0.000000,16.000000,3.625000,0.000000,Hispanic/Latino,Male,Continuing Generation
4421,3.960000,3.560000,2.900000,15.000000,0.266667,13.000000,2.416667,0.307692,White,Male,Continuing Generation
